Region,Year,B_predicted
Schaffhausen,2028,0.631138
Schaffhausen,2029,0.631298
Schaffhausen,2030,0.631402
Schaffhausen,2031,0.631469
Schaffhausen,2032,0.631514
Schaffhausen,2033,0.631543
Schaffhausen,2034,0.631562
Schaffhausen,2035,0.631574
Schaffhausen,2036,0.631582
Schaffhausen,2037,0.631588
Schaffhausen,2038,0.631591
Schaffhausen,2039,0.631594
Schaffhausen,2040,0.631595
Schaffhausen,2041,0.631596
Schaffhausen,2042,0.631597
Schaffhausen,2043,0.631597
Schaffhausen,2044,0.631598
Schaffhausen,2045,0.631598
Schaffhausen,2046,0.631598
Schaffhausen,2047,0.631598
Schaffhausen,2048,0.631598
Schaffhausen,2049,0.631598
Schaffhausen,2050,0.631598
Schleitheim,2019,0.605679
Schleitheim,2020,0.788410
Schleitheim,2021,0.986498
Schleitheim,2022,1.184949
Schleitheim,2023,1.368759
Schleitheim,2024,1.527122
Schleitheim,2025,1.655337
Schleitheim,2026,1.754066
Schleitheim,2027,1.827232
Schleitheim,2028,1.879954
Schleitheim,2029,1.917199
Schleitheim,2030,1.943156
Schleitheim,2031,1.961084
